iter	Passed	Remaining
0	0	70
1	1	57
2	1	51
3	2	49
4	10	208
5	11	177
6	11	156
7	12	141
8	12	129
9	13	120
10	14	113
11	14	106
12	15	101
13	15	95
14	16	90
15	16	87
16	17	84
17	18	82
18	18	79
19	19	76
20	19	73
21	20	71
22	20	69
23	21	67
24	21	64
25	22	62
26	22	61
27	23	59
28	23	57
29	23	55
30	24	55
31	25	54
32	26	53
33	26	51
34	30	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	36	45
45	37	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	28
61	45	28
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	50	20
71	51	19
72	52	19
73	52	18
74	53	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	67	0
