iter	Passed	Remaining
0	134	133924
1	135	67725
2	138	45915
3	141	35355
4	144	28830
5	147	24413
6	150	21294
7	152	18942
8	155	17130
9	158	15666
10	160	14445
11	163	13452
12	165	12583
13	169	11958
14	172	11318
15	174	10742
16	176	10217
17	178	9754
18	181	9359
19	183	8978
20	185	8637
21	187	8330
22	189	8057
23	191	7784
24	193	7544
25	195	7308
26	196	7097
27	198	6900
28	200	6723
29	201	6530
30	203	6348
31	204	6174
32	205	6026
33	206	5876
34	207	5728
35	208	5587
36	209	5457
37	210	5328
38	211	5209
39	212	5097
40	213	4986
41	213	4880
42	214	4778
43	215	4681
44	216	4587
45	216	4497
46	217	4413
47	218	4330
48	219	4252
49	219	4176
50	220	4101
51	221	4030
52	221	3962
53	222	3895
54	222	3829
55	223	3767
56	224	3708
57	224	3650
58	225	3594
59	225	3539
60	226	3486
61	226	3434
62	227	3383
63	228	3334
64	228	3287
65	229	3241
66	229	3198
67	230	3156
68	230	3115
69	231	3076
70	232	3037
71	232	2998
72	233	2962
73	233	2926
74	234	2890
75	235	2857
76	235	2824
77	236	2792
78	236	2761
79	237	2730
80	238	2700
81	238	2671
82	238	2640
83	239	2612
84	240	2584
85	240	2557
86	241	2530
87	241	2505
88	242	2480
89	242	2456
90	243	2432
91	244	2409
92	244	2386
93	245	2363
94	245	2341
95	246	2320
96	246	2298
97	247	2278
98	248	2257
99	248	2237
100	249	2219
101	249	2200
102	250	2181
103	251	2163
104	251	2145
105	252	2128
106	252	2110
107	253	2093
108	253	2076
109	254	2059
110	255	2044
111	255	2029
112	256	2013
113	257	1998
114	257	1982
115	258	1968
116	258	1952
117	259	1938
118	259	1923
119	260	1909
120	260	1895
121	261	1881
122	262	1868
123	262	1855
124	263	1842
125	263	1830
126	264	1816
127	264	1804
128	265	1791
129	265	1779
130	266	1767
131	267	1756
132	267	1745
133	268	1734
134	269	1723
135	269	1713
136	270	1702
137	270	1692
138	271	1681
139	272	1671
140	272	1660
141	273	1649
142	273	1639
143	274	1630
144	274	1620
145	275	1611
146	275	1601
147	276	1592
148	277	1582
149	277	1573
150	278	1564
151	278	1555
152	279	1546
153	279	1537
154	280	1529
155	281	1522
156	282	1514
157	282	1506
158	283	1497
159	283	1489
160	284	1480
161	284	1473
162	285	1465
163	285	1457
164	286	1449
165	287	1442
166	287	1435
167	288	1428
168	289	1421
169	289	1414
170	290	1407
171	290	1400
172	291	1393
173	292	1386
174	292	1379
175	293	1373
176	293	1366
177	294	1360
178	295	1353
179	295	1347
180	296	1340
181	296	1334
182	297	1328
183	298	1321
184	298	1315
185	299	1310
186	299	1304
187	300	1298
188	301	1292
189	301	1286
190	302	1280
191	302	1274
192	303	1269
193	304	1263
194	304	1258
195	305	1253
196	306	1248
197	306	1242
198	307	1237
199	308	1232
200	308	1227
201	309	1221
202	309	1216
203	310	1211
204	311	1206
205	311	1201
206	312	1197
207	313	1192
208	313	1187
209	314	1183
210	315	1178
211	315	1173
212	316	1168
213	316	1163
214	317	1159
215	318	1155
216	318	1150
217	319	1145
218	319	1141
219	320	1136
220	321	1131
221	321	1127
222	322	1122
223	322	1118
224	323	1114
225	324	1110
226	324	1105
227	325	1101
228	325	1097
229	326	1093
230	327	1089
231	327	1085
232	328	1081
233	329	1077
234	329	1073
235	330	1069
236	331	1065
237	331	1061
238	332	1057
239	332	1053
240	333	1049
241	333	1045
242	334	1041
243	334	1037
244	335	1033
245	336	1029
246	336	1026
247	337	1022
248	337	1019
249	338	1015
250	339	1011
251	339	1008
252	340	1004
253	340	1000
254	341	997
255	341	993
256	342	989
257	343	986
258	343	983
259	344	980
260	344	976
261	345	973
262	346	969
263	346	966
264	347	962
265	347	959
266	348	955
267	348	952
268	349	949
269	350	946
270	350	943
271	351	940
272	351	937
273	352	933
274	353	930
275	353	927
276	354	924
277	354	921
278	355	918
279	356	915
280	356	912
281	357	909
282	357	906
283	358	903
284	359	900
285	359	897
286	360	894
287	360	891
288	361	888
289	361	886
290	362	883
291	363	880
292	363	877
293	364	874
294	364	871
295	365	869
296	365	866
297	366	863
298	367	860
299	367	857
300	368	854
301	368	852
302	369	849
303	369	846
304	370	843
305	370	840
306	371	838
307	371	835
308	372	832
309	372	829
310	373	827
311	373	824
312	374	821
313	374	819
314	375	816
315	376	814
316	376	811
317	377	809
318	377	806
319	378	804
320	378	801
321	379	799
322	380	796
323	380	794
324	381	792
325	382	789
326	382	787
327	383	785
328	383	782
329	384	780
330	384	778
331	385	775
332	386	773
333	386	770
334	387	768
335	387	766
336	388	764
337	388	761
338	389	759
339	390	757
340	390	755
341	391	752
342	391	750
343	392	748
344	393	746
345	393	744
346	394	741
347	394	739
348	395	737
349	395	735
350	396	732
351	396	730
352	397	728
353	397	726
354	398	724
355	399	721
356	399	719
357	400	718
358	401	716
359	401	714
360	402	712
361	402	710
362	403	708
363	404	705
364	404	703
365	405	701
366	405	699
367	406	698
368	406	695
369	407	694
370	408	691
371	408	689
372	409	687
373	409	685
374	410	683
375	410	681
376	411	679
377	412	678
378	412	676
379	413	674
380	413	672
381	414	670
382	415	668
383	415	666
384	416	664
385	416	662
386	417	660
387	417	659
388	418	657
389	419	655
390	419	653
391	420	652
392	421	650
393	421	648
394	422	646
395	422	644
396	423	643
397	423	641
398	424	639
399	425	637
400	425	636
401	426	634
402	426	632
403	427	630
404	428	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	619
410	431	618
411	432	616
412	432	615
413	433	613
414	433	611
415	434	609
416	435	608
417	435	606
418	436	604
419	436	603
420	437	601
421	438	600
422	438	598
423	439	597
424	440	595
425	440	593
426	441	592
427	441	590
428	442	588
429	443	587
430	443	585
431	444	584
432	444	582
433	445	581
434	446	579
435	446	577
436	447	576
437	447	574
438	448	572
439	448	571
440	449	569
441	449	568
442	450	566
443	451	565
444	451	563
445	452	561
446	452	560
447	453	558
448	454	557
449	454	555
450	455	554
451	455	552
452	456	551
453	457	549
454	457	548
455	458	546
456	458	545
457	459	543
458	459	542
459	460	540
460	461	539
461	461	537
462	462	536
463	463	534
464	463	533
465	464	531
466	464	530
467	465	528
468	465	527
469	466	526
470	467	524
471	467	523
472	468	521
473	468	520
474	469	519
475	470	517
476	470	516
477	471	514
478	472	513
479	472	512
480	473	510
481	473	509
482	474	507
483	474	506
484	475	505
485	476	503
486	476	502
487	477	500
488	477	499
489	478	498
490	479	496
491	479	495
492	480	493
493	480	492
494	481	491
495	482	490
496	482	488
497	483	487
498	484	486
499	484	484
500	485	483
501	485	481
502	486	480
503	486	478
504	487	477
505	487	476
506	488	474
507	489	473
508	489	472
509	490	470
510	490	469
511	491	468
512	491	467
513	492	465
514	493	464
515	493	462
516	494	461
517	494	460
518	495	459
519	495	457
520	496	456
521	496	455
522	497	453
523	497	452
524	498	450
525	498	449
526	499	448
527	500	447
528	500	445
529	501	444
530	501	443
531	502	441
532	502	440
533	503	439
534	504	438
535	504	436
536	505	435
537	505	434
538	506	432
539	507	432
540	507	430
541	508	429
542	508	428
543	509	427
544	510	425
545	510	424
546	511	423
547	511	422
548	512	420
549	512	419
550	513	418
551	514	417
552	514	416
553	515	415
554	516	413
555	516	412
556	517	411
557	518	410
558	518	409
559	519	408
560	519	406
561	520	405
562	521	404
563	521	403
564	522	402
565	522	400
566	523	399
567	524	398
568	524	397
569	525	396
570	525	395
571	526	394
572	527	392
573	527	391
574	528	390
575	529	389
576	529	388
577	530	387
578	531	386
579	531	385
580	532	384
581	533	382
582	533	381
583	534	380
584	535	379
585	535	378
586	536	377
587	536	376
588	537	374
589	537	373
590	538	372
591	539	371
592	539	370
593	540	369
594	541	368
595	541	367
596	542	366
597	542	364
598	543	363
599	543	362
600	544	361
601	545	360
602	545	359
603	546	358
604	547	357
605	547	356
606	548	355
607	549	353
608	549	352
609	550	351
610	550	350
611	551	349
612	552	348
613	553	347
614	553	346
615	554	345
616	555	344
617	555	343
618	556	342
619	556	341
620	557	340
621	558	339
622	559	338
623	559	337
624	560	336
625	561	335
626	561	334
627	562	333
628	562	331
629	563	330
630	564	329
631	564	328
632	565	327
633	565	326
634	566	325
635	567	324
636	567	323
637	568	322
638	568	321
639	569	320
640	570	319
641	570	318
642	571	317
643	572	316
644	572	315
645	573	314
646	574	313
647	574	312
648	575	311
649	575	310
650	576	309
651	577	308
652	577	307
653	578	305
654	578	304
655	579	303
656	580	302
657	580	301
658	581	300
659	581	299
660	582	298
661	583	297
662	583	296
663	584	295
664	585	294
665	585	293
666	586	292
667	586	291
668	587	290
669	587	289
670	588	288
671	589	287
672	589	286
673	590	285
674	591	284
675	591	283
676	592	282
677	593	281
678	593	280
679	594	279
680	595	278
681	595	277
682	596	276
683	597	275
684	597	274
685	598	273
686	598	272
687	599	271
